"seqnames"	"start"	"end"	"width"	"strand"	"gene_id"	"gene_name"	"gene_biotype"	"seq_coord_system"	"symbol"	"entrezid"
"ENSG00000127054"	"chr1"	1324691	1324692	2	"-"	"ENSG00000127054"	"CPSF3L"	"protein_coding"	"chromosome"	"CPSF3L"	c(102465435, 54973)
"ENSG00000224051"	"chr1"	1324755	1324756	2	"+"	"ENSG00000224051"	"CPTP"	"protein_coding"	"chromosome"	"CPTP"	80772
"ENSG00000169962"	"chr1"	1331313	1331314	2	"+"	"ENSG00000169962"	"TAS1R3"	"protein_coding"	"chromosome"	"TAS1R3"	83756
"ENSG00000107404"	"chr1"	1349350	1349351	2	"-"	"ENSG00000107404"	"DVL1"	"protein_coding"	"chromosome"	"DVL1"	c(102466740, 1855)
"ENSG00000162576"	"chr1"	1361777	1361778	2	"-"	"ENSG00000162576"	"MXRA8"	"protein_coding"	"chromosome"	"MXRA8"	54587
"ENSG00000175756"	"chr1"	1375495	1375496	2	"-"	"ENSG00000175756"	"AURKAIP1"	"protein_coding"	"chromosome"	"AURKAIP1"	54998
"ENSG00000221978"	"chr1"	1399328	1399329	2	"-"	"ENSG00000221978"	"CCNL2"	"protein_coding"	"chromosome"	"CCNL2"	81669
"ENSG00000242485"	"chr1"	1407313	1407314	2	"-"	"ENSG00000242485"	"MRPL20"	"protein_coding"	"chromosome"	"MRPL20"	55052
"ENSG00000235098"	"chr1"	1421769	1421770	2	"-"	"ENSG00000235098"	"ANKRD65"	"protein_coding"	"chromosome"	"ANKRD65"	441869
"ENSG00000205116"	"chr1"	1426127	1426128	2	"+"	"ENSG00000205116"	"TMEM88B"	"protein_coding"	"chromosome"	"TMEM88B"	643965
"ENSG00000179403"	"chr1"	1434860	1434861	2	"+"	"ENSG00000179403"	"VWA1"	"protein_coding"	"chromosome"	"VWA1"	64856
"ENSG00000215915"	"chr1"	1449688	1449689	2	"+"	"ENSG00000215915"	"ATAD3C"	"protein_coding"	"chromosome"	"ATAD3C"	219293
"ENSG00000160072"	"chr1"	1471768	1471769	2	"+"	"ENSG00000160072"	"ATAD3B"	"protein_coding"	"chromosome"	"ATAD3B"	83858
"ENSG00000197785"	"chr1"	1512150	1512151	2	"+"	"ENSG00000197785"	"ATAD3A"	"protein_coding"	"chromosome"	"ATAD3A"	55210
"ENSG00000205090"	"chr1"	1540453	1540454	2	"-"	"ENSG00000205090"	"TMEM240"	"protein_coding"	"chromosome"	"TMEM240"	339453
"ENSG00000160075"	"chr1"	1574869	1574870	2	"-"	"ENSG00000160075"	"SSU72"	"protein_coding"	"chromosome"	"SSU72"	29101
"ENSG00000279244"	"chr1"	1579755	1579756	2	"+"	"ENSG00000279244"	"AL645728.1"	"protein_coding"	"chromosome"	"AL645728.1"	.
"ENSG00000228594"	"chr1"	1600096	1600097	2	"-"	"ENSG00000228594"	"FNDC10"	"protein_coding"	"chromosome"	"FNDC10"	643988
"ENSG00000197530"	"chr1"	1615414	1615415	2	"+"	"ENSG00000197530"	"MIB2"	"protein_coding"	"chromosome"	"MIB2"	142678
"ENSG00000189409"	"chr1"	1632094	1632095	2	"+"	"ENSG00000189409"	"MMP23B"	"protein_coding"	"chromosome"	"MMP23B"	8510
"ENSG00000248333"	"chr1"	1659012	1659013	2	"-"	"ENSG00000248333"	"CDK11B"	"protein_coding"	"chromosome"	"CDK11B"	984
"ENSG00000189339"	"chr1"	1692728	1692729	2	"-"	"ENSG00000189339"	"SLC35E2B"	"protein_coding"	"chromosome"	"SLC35E2B"	728661
"ENSG00000008128"	"chr1"	1724324	1724325	2	"-"	"ENSG00000008128"	"CDK11A"	"protein_coding"	"chromosome"	"CDK11A"	c(728642, 984)
"ENSG00000215790"	"chr1"	1745992	1745993	2	"-"	"ENSG00000215790"	"SLC35E2"	"protein_coding"	"chromosome"	"SLC35E2"	9906
"ENSG00000008130"	"chr1"	1780457	1780458	2	"-"	"ENSG00000008130"	"NADK"	"protein_coding"	"chromosome"	"NADK"	65220
"ENSG00000078369"	"chr1"	1891117	1891118	2	"-"	"ENSG00000078369"	"GNB1"	"protein_coding"	"chromosome"	"GNB1"	2782
"ENSG00000169885"	"chr1"	1914826	1914827	2	"+"	"ENSG00000169885"	"CALML6"	"protein_coding"	"chromosome"	"CALML6"	163688
"ENSG00000178821"	"chr1"	1919273	1919274	2	"-"	"ENSG00000178821"	"TMEM52"	"protein_coding"	"chromosome"	"TMEM52"	339456
"ENSG00000142609"	"chr1"	2003837	2003838	2	"-"	"ENSG00000142609"	"CFAP74"	"protein_coding"	"chromosome"	"CFAP74"	85452
"ENSG00000187730"	"chr1"	2019323	2019324	2	"+"	"ENSG00000187730"	"GABRD"	"protein_coding"	"chromosome"	"GABRD"	2563
"ENSG00000067606"	"chr1"	2050469	2050470	2	"+"	"ENSG00000067606"	"PRKCZ"	"protein_coding"	"chromosome"	"PRKCZ"	5590
"ENSG00000162585"	"chr1"	2212720	2212721	2	"-"	"ENSG00000162585"	"FAAP20"	"protein_coding"	"chromosome"	"FAAP20"	199990
"ENSG00000157933"	"chr1"	2228694	2228695	2	"+"	"ENSG00000157933"	"SKI"	"protein_coding"	"chromosome"	"SKI"	6497
"ENSG00000116151"	"chr1"	2391707	2391708	2	"-"	"ENSG00000116151"	"MORN1"	"protein_coding"	"chromosome"	"MORN1"	79906
"ENSG00000157916"	"chr1"	2391774	2391775	2	"+"	"ENSG00000157916"	"RER1"	"protein_coding"	"chromosome"	"RER1"	11079
"ENSG00000157911"	"chr1"	2413797	2413798	2	"-"	"ENSG00000157911"	"PEX10"	"protein_coding"	"chromosome"	"PEX10"	5192
"ENSG00000149527"	"chr1"	2425979	2425980	2	"+"	"ENSG00000149527"	"PLCH2"	"protein_coding"	"chromosome"	"PLCH2"	9651
"ENSG00000157881"	"chr1"	2526628	2526629	2	"-"	"ENSG00000157881"	"PANK4"	"protein_coding"	"chromosome"	"PANK4"	55229
"ENSG00000197921"	"chr1"	2530245	2530246	2	"-"	"ENSG00000197921"	"HES5"	"protein_coding"	"chromosome"	"HES5"	388585
"ENSG00000157873"	"chr1"	2555638	2555639	2	"+"	"ENSG00000157873"	"TNFRSF14"	"protein_coding"	"chromosome"	"TNFRSF14"	8764
"ENSG00000157870"	"chr1"	2586490	2586491	2	"+"	"ENSG00000157870"	"FAM213B"	"protein_coding"	"chromosome"	"FAM213B"	127281
"ENSG00000142606"	"chr1"	2632990	2632991	2	"-"	"ENSG00000142606"	"MMEL1"	"protein_coding"	"chromosome"	"MMEL1"	79258
"ENSG00000215912"	"chr1"	2801717	2801718	2	"-"	"ENSG00000215912"	"TTC34"	"protein_coding"	"chromosome"	"TTC34"	100287898
"ENSG00000169717"	"chr1"	3021482	3021483	2	"+"	"ENSG00000169717"	"ACTRT2"	"protein_coding"	"chromosome"	"ACTRT2"	140625
"ENSG00000142611"	"chr1"	3069167	3069168	2	"+"	"ENSG00000142611"	"PRDM16"	"protein_coding"	"chromosome"	"PRDM16"	63976
"ENSG00000130762"	"chr1"	3454425	3454426	2	"+"	"ENSG00000130762"	"ARHGEF16"	"protein_coding"	"chromosome"	"ARHGEF16"	27237
"ENSG00000162591"	"chr1"	3611495	3611496	2	"-"	"ENSG00000162591"	"MEGF6"	"protein_coding"	"chromosome"	"MEGF6"	1953
"ENSG00000158109"	"chr1"	3625001	3625002	2	"+"	"ENSG00000158109"	"TPRG1L"	"protein_coding"	"chromosome"	"TPRG1L"	127262
"ENSG00000116213"	"chr1"	3652761	3652762	2	"-"	"ENSG00000116213"	"WRAP73"	"protein_coding"	"chromosome"	"WRAP73"	49856
"ENSG00000078900"	"chr1"	3652519	3652520	2	"+"	"ENSG00000078900"	"TP73"	"protein_coding"	"chromosome"	"TP73"	7161
"ENSG00000162592"	"chr1"	3746459	3746460	2	"+"	"ENSG00000162592"	"CCDC27"	"protein_coding"	"chromosome"	"CCDC27"	148870
"ENSG00000235169"	"chr1"	3772787	3772788	2	"+"	"ENSG00000235169"	"SMIM1"	"protein_coding"	"chromosome"	"SMIM1"	388588
"ENSG00000130764"	"chr1"	3796504	3796505	2	"-"	"ENSG00000130764"	"LRRC47"	"protein_coding"	"chromosome"	"LRRC47"	57470
"ENSG00000116198"	"chr1"	3857214	3857215	2	"-"	"ENSG00000116198"	"CEP104"	"protein_coding"	"chromosome"	"CEP104"	9731
"ENSG00000169598"	"chr1"	3857266	3857267	2	"+"	"ENSG00000169598"	"DFFB"	"protein_coding"	"chromosome"	"DFFB"	1677
"ENSG00000198912"	"chr1"	3900293	3900294	2	"-"	"ENSG00000198912"	"C1orf174"	"protein_coding"	"chromosome"	"C1orf174"	339448
"ENSG00000196581"	"chr1"	4654731	4654732	2	"+"	"ENSG00000196581"	"AJAP1"	"protein_coding"	"chromosome"	"AJAP1"	55966
"ENSG00000131697"	"chr1"	5992473	5992474	2	"-"	"ENSG00000131697"	"NPHP4"	"protein_coding"	"chromosome"	"NPHP4"	261734
"ENSG00000069424"	"chr1"	5991465	5991466	2	"+"	"ENSG00000069424"	"KCNAB2"	"protein_coding"	"chromosome"	"KCNAB2"	8514
"ENSG00000116254"	"chr1"	6180123	6180124	2	"-"	"ENSG00000116254"	"CHD5"	"protein_coding"	"chromosome"	"CHD5"	26038
"ENSG00000116251"	"chr1"	6209389	6209390	2	"-"	"ENSG00000116251"	"RPL22"	"protein_coding"	"chromosome"	"RPL22"	6146
"ENSG00000158286"	"chr1"	6205474	6205475	2	"+"	"ENSG00000158286"	"RNF207"	"protein_coding"	"chromosome"	"RNF207"	388591
"ENSG00000116237"	"chr1"	6235972	6235973	2	"-"	"ENSG00000116237"	"ICMT"	"protein_coding"	"chromosome"	"ICMT"	23463
"ENSG00000173673"	"chr1"	6244191	6244192	2	"+"	"ENSG00000173673"	"HES3"	"protein_coding"	"chromosome"	"HES3"	390992
"ENSG00000158292"	"chr1"	6260975	6260976	2	"-"	"ENSG00000158292"	"GPR153"	"protein_coding"	"chromosome"	"GPR153"	387509
"ENSG00000097021"	"chr1"	6394391	6394392	2	"-"	"ENSG00000097021"	"ACOT7"	"protein_coding"	"chromosome"	"ACOT7"	11332
"ENSG00000069812"	"chr1"	6424670	6424671	2	"-"	"ENSG00000069812"	"HES2"	"protein_coding"	"chromosome"	"HES2"	54626
"ENSG00000187017"	"chr1"	6424787	6424788	2	"+"	"ENSG00000187017"	"ESPN"	"protein_coding"	"chromosome"	"ESPN"	83715
"ENSG00000215788"	"chr1"	6466195	6466196	2	"-"	"ENSG00000215788"	"TNFRSF25"	"protein_coding"	"chromosome"	"TNFRSF25"	8718
"ENSG00000171680"	"chr1"	6520061	6520062	2	"-"	"ENSG00000171680"	"PLEKHG5"	"protein_coding"	"chromosome"	"PLEKHG5"	57449
"ENSG00000162408"	"chr1"	6554535	6554536	2	"-"	"ENSG00000162408"	"NOL9"	"protein_coding"	"chromosome"	"NOL9"	79707
"ENSG00000173662"	"chr1"	6555180	6555181	2	"+"	"ENSG00000173662"	"TAS1R1"	"protein_coding"	"chromosome"	"TAS1R1"	80835
"ENSG00000204859"	"chr1"	6580000	6580001	2	"+"	"ENSG00000204859"	"ZBTB48"	"protein_coding"	"chromosome"	"ZBTB48"	3104
"ENSG00000162413"	"chr1"	6614607	6614608	2	"-"	"ENSG00000162413"	"KLHL21"	"protein_coding"	"chromosome"	"KLHL21"	9903
"ENSG00000116273"	"chr1"	6613684	6613685	2	"+"	"ENSG00000116273"	"PHF13"	"protein_coding"	"chromosome"	"PHF13"	148479
"ENSG00000041988"	"chr1"	6624865	6624866	2	"+"	"ENSG00000041988"	"THAP3"	"protein_coding"	"chromosome"	"THAP3"	90326
"ENSG00000007923"	"chr1"	6701924	6701925	2	"-"	"ENSG00000007923"	"DNAJC11"	"protein_coding"	"chromosome"	"DNAJC11"	55735
"ENSG00000171735"	"chr1"	6785323	6785324	2	"+"	"ENSG00000171735"	"CAMTA1"	"protein_coding"	"chromosome"	"CAMTA1"	23261
"ENSG00000049245"	"chr1"	7771268	7771269	2	"+"	"ENSG00000049245"	"VAMP3"	"protein_coding"	"chromosome"	"VAMP3"	9341
"ENSG00000049246"	"chr1"	7784319	7784320	2	"+"	"ENSG00000049246"	"PER3"	"protein_coding"	"chromosome"	"PER3"	8863
"ENSG00000049247"	"chr1"	7853512	7853513	2	"-"	"ENSG00000049247"	"UTS2"	"protein_coding"	"chromosome"	"UTS2"	10911
"ENSG00000049249"	"chr1"	7943165	7943166	2	"-"	"ENSG00000049249"	"TNFRSF9"	"protein_coding"	"chromosome"	"TNFRSF9"	3604
"ENSG00000116288"	"chr1"	7954290	7954291	2	"+"	"ENSG00000116288"	"PARK7"	"protein_coding"	"chromosome"	"PARK7"	11315
"ENSG00000116285"	"chr1"	8026308	8026309	2	"-"	"ENSG00000116285"	"ERRFI1"	"protein_coding"	"chromosome"	"ERRFI1"	54206
"ENSG00000162426"	"chr1"	8317825	8317826	2	"+"	"ENSG00000162426"	"SLC45A1"	"protein_coding"	"chromosome"	"SLC45A1"	50651
"ENSG00000142599"	"chr1"	8817643	8817644	2	"-"	"ENSG00000142599"	"RERE"	"protein_coding"	"chromosome"	"RERE"	473
"ENSG00000074800"	"chr1"	8879249	8879250	2	"-"	"ENSG00000074800"	"ENO1"	"protein_coding"	"chromosome"	"ENO1"	2023
"ENSG00000131686"	"chr1"	8945866	8945867	2	"+"	"ENSG00000131686"	"CA6"	"protein_coding"	"chromosome"	"CA6"	765
"ENSG00000197241"	"chr1"	9026345	9026346	2	"-"	"ENSG00000197241"	"SLC2A7"	"protein_coding"	"chromosome"	"SLC2A7"	155184
"ENSG00000142583"	"chr1"	9088478	9088479	2	"-"	"ENSG00000142583"	"SLC2A5"	"protein_coding"	"chromosome"	"SLC2A5"	6518
"ENSG00000180758"	"chr1"	9129170	9129171	2	"-"	"ENSG00000180758"	"GPR157"	"protein_coding"	"chromosome"	"GPR157"	80045
"ENSG00000049239"	"chr1"	9234774	9234775	2	"+"	"ENSG00000049239"	"H6PD"	"protein_coding"	"chromosome"	"H6PD"	9563
"ENSG00000171621"	"chr1"	9292879	9292880	2	"+"	"ENSG00000171621"	"SPSB1"	"protein_coding"	"chromosome"	"SPSB1"	80176
"ENSG00000171612"	"chr1"	9539481	9539482	2	"+"	"ENSG00000171612"	"SLC25A33"	"protein_coding"	"chromosome"	"SLC25A33"	84275
"ENSG00000188807"	"chr1"	9588921	9588922	2	"+"	"ENSG00000188807"	"TMEM201"	"protein_coding"	"chromosome"	"TMEM201"	199953
"ENSG00000171608"	"chr1"	9651731	9651732	2	"+"	"ENSG00000171608"	"PIK3CD"	"protein_coding"	"chromosome"	"PIK3CD"	5293
"ENSG00000171603"	"chr1"	9824526	9824527	2	"-"	"ENSG00000171603"	"CLSTN1"	"protein_coding"	"chromosome"	"CLSTN1"	22883
"ENSG00000280113"	"chr1"	9828258	9828259	2	"-"	"ENSG00000280113"	"AL357140.1"	"protein_coding"	"chromosome"	"AL357140.1"	.
"ENSG00000178585"	"chr1"	9910336	9910337	2	"-"	"ENSG00000178585"	"CTNNBIP1"	"protein_coding"	"chromosome"	"CTNNBIP1"	56998
"ENSG00000162441"	"chr1"	9943407	9943408	2	"-"	"ENSG00000162441"	"LZIC"	"protein_coding"	"chromosome"	"LZIC"	84328
"ENSG00000173614"	"chr1"	9943427	9943428	2	"+"	"ENSG00000173614"	"NMNAT1"	"protein_coding"	"chromosome"	"NMNAT1"	64802
"ENSG00000162444"	"chr1"	9997205	9997206	2	"+"	"ENSG00000162444"	"RBP7"	"protein_coding"	"chromosome"	"RBP7"	116362
"ENSG00000130939"	"chr1"	10032831	10032832	2	"+"	"ENSG00000130939"	"UBE4B"	"protein_coding"	"chromosome"	"UBE4B"	10277
"ENSG00000054523"	"chr1"	10210804	10210805	2	"+"	"ENSG00000054523"	"KIF1B"	"protein_coding"	"chromosome"	"KIF1B"	23095
"ENSG00000142657"	"chr1"	10398591	10398592	2	"+"	"ENSG00000142657"	"PGD"	"protein_coding"	"chromosome"	"PGD"	5226
"ENSG00000251503"	"chr1"	10430101	10430102	2	"+"	"ENSG00000251503"	"APITD1-CORT"	"protein_coding"	"chromosome"	"APITD1-CORT"	100526739
"ENSG00000175279"	"chr1"	10430442	10430443	2	"+"	"ENSG00000175279"	"APITD1"	"protein_coding"	"chromosome"	"APITD1"	378708
"ENSG00000241563"	"chr1"	10449718	10449719	2	"+"	"ENSG00000241563"	"CORT"	"protein_coding"	"chromosome"	"CORT"	1325
"ENSG00000160049"	"chr1"	10472526	10472527	2	"-"	"ENSG00000160049"	"DFFA"	"protein_coding"	"chromosome"	"DFFA"	1676
"ENSG00000142655"	"chr1"	10472287	10472288	2	"+"	"ENSG00000142655"	"PEX14"	"protein_coding"	"chromosome"	"PEX14"	5195
"ENSG00000130940"	"chr1"	10796650	10796651	2	"-"	"ENSG00000130940"	"CASZ1"	"protein_coding"	"chromosome"	"CASZ1"	54897
"ENSG00000175262"	"chr1"	10982037	10982038	2	"-"	"ENSG00000175262"	"C1orf127"	"protein_coding"	"chromosome"	"C1orf127"	148345
"ENSG00000120948"	"chr1"	11012343	11012344	2	"+"	"ENSG00000120948"	"TARDBP"	"protein_coding"	"chromosome"	"TARDBP"	23435
"ENSG00000277726"	"chr1"	11012661	11012662	2	"+"	"ENSG00000277726"	"RP4-635E18.9"	"protein_coding"	"chromosome"	"RP4-635E18.9"	.
"ENSG00000009724"	"chr1"	11047233	11047234	2	"-"	"ENSG00000009724"	"MASP2"	"protein_coding"	"chromosome"	"MASP2"	10747
"ENSG00000116649"	"chr1"	11060024	11060025	2	"-"	"ENSG00000116649"	"SRM"	"protein_coding"	"chromosome"	"SRM"	6723
"ENSG00000171824"	"chr1"	11099881	11099882	2	"-"	"ENSG00000171824"	"EXOSC10"	"protein_coding"	"chromosome"	"EXOSC10"	5394
"ENSG00000198793"	"chr1"	11262507	11262508	2	"-"	"ENSG00000198793"	"MTOR"	"protein_coding"	"chromosome"	"MTOR"	2475
"ENSG00000171819"	"chr1"	11189340	11189341	2	"+"	"ENSG00000171819"	"ANGPTL7"	"protein_coding"	"chromosome"	"ANGPTL7"	10218
"ENSG00000120942"	"chr1"	11273205	11273206	2	"+"	"ENSG00000120942"	"UBIAD1"	"protein_coding"	"chromosome"	"UBIAD1"	29914
"ENSG00000204624"	"chr1"	11479165	11479166	2	"+"	"ENSG00000204624"	"DISP3"	"protein_coding"	"chromosome"	"DISP3"	57540
"ENSG00000116661"	"chr1"	11655785	11655786	2	"-"	"ENSG00000116661"	"FBXO2"	"protein_coding"	"chromosome"	"FBXO2"	26232
"ENSG00000132879"	"chr1"	11654374	11654375	2	"+"	"ENSG00000132879"	"FBXO44"	"protein_coding"	"chromosome"	"FBXO44"	93611
"ENSG00000116663"	"chr1"	11664123	11664124	2	"+"	"ENSG00000116663"	"FBXO6"	"protein_coding"	"chromosome"	"FBXO6"	26270
"ENSG00000116670"	"chr1"	11691650	11691651	2	"-"	"ENSG00000116670"	"MAD2L2"	"protein_coding"	"chromosome"	"MAD2L2"	10459
"ENSG00000162490"	"chr1"	11691728	11691729	2	"+"	"ENSG00000162490"	"DRAXIN"	"protein_coding"	"chromosome"	"DRAXIN"	374946
"ENSG00000177674"	"chr1"	11736083	11736084	2	"+"	"ENSG00000177674"	"AGTRAP"	"protein_coding"	"chromosome"	"AGTRAP"	57085
"ENSG00000215910"	"chr1"	11761786	11761787	2	"+"	"ENSG00000215910"	"C1orf167"	"protein_coding"	"chromosome"	"C1orf167"	.
"ENSG00000177000"	"chr1"	11806920	11806921	2	"-"	"ENSG00000177000"	"MTHFR"	"protein_coding"	"chromosome"	"MTHFR"	4524
"ENSG00000011021"	"chr1"	11806095	11806096	2	"+"	"ENSG00000011021"	"CLCN6"	"protein_coding"	"chromosome"	"CLCN6"	1185
"ENSG00000175206"	"chr1"	11848345	11848346	2	"-"	"ENSG00000175206"	"NPPA"	"protein_coding"	"chromosome"	"NPPA"	4878
"ENSG00000120937"	"chr1"	11858931	11858932	2	"-"	"ENSG00000120937"	"NPPB"	"protein_coding"	"chromosome"	"NPPB"	4879
"ENSG00000116685"	"chr1"	11926428	11926429	2	"-"	"ENSG00000116685"	"KIAA2013"	"protein_coding"	"chromosome"	"KIAA2013"	c(102724984, 90231)
"ENSG00000083444"	"chr1"	11934204	11934205	2	"+"	"ENSG00000083444"	"PLOD1"	"protein_coding"	"chromosome"	"PLOD1"	5351
"ENSG00000116688"	"chr1"	11980180	11980181	2	"+"	"ENSG00000116688"	"MFN2"	"protein_coding"	"chromosome"	"MFN2"	9927
"ENSG00000116691"	"chr1"	12019465	12019466	2	"+"	"ENSG00000116691"	"MIIP"	"protein_coding"	"chromosome"	"MIIP"	60672
"ENSG00000120949"	"chr1"	12063376	12063377	2	"+"	"ENSG00000120949"	"TNFRSF8"	"protein_coding"	"chromosome"	"TNFRSF8"	943
"ENSG00000028137"	"chr1"	12166942	12166943	2	"+"	"ENSG00000028137"	"TNFRSF1B"	"protein_coding"	"chromosome"	"TNFRSF1B"	c(102465836, 7133)
"ENSG00000048707"	"chr1"	12230066	12230067	2	"+"	"ENSG00000048707"	"VPS13D"	"protein_coding"	"chromosome"	"VPS13D"	55187
"ENSG00000162496"	"chr1"	12617731	12617732	2	"-"	"ENSG00000162496"	"DHRS3"	"protein_coding"	"chromosome"	"DHRS3"	9249
"ENSG00000204518"	"chr1"	12644546	12644547	2	"+"	"ENSG00000204518"	"AADACL4"	"protein_coding"	"chromosome"	"AADACL4"	343066
"ENSG00000188984"	"chr1"	12716114	12716115	2	"+"	"ENSG00000188984"	"AADACL3"	"protein_coding"	"chromosome"	"AADACL3"	126767
"ENSG00000157330"	"chr1"	12746214	12746215	2	"+"	"ENSG00000157330"	"C1orf158"	"protein_coding"	"chromosome"	"C1orf158"	93190
"ENSG00000116726"	"chr1"	12774840	12774841	2	"+"	"ENSG00000116726"	"PRAMEF12"	"protein_coding"	"chromosome"	"PRAMEF12"	390999
"ENSG00000116721"	"chr1"	12791396	12791397	2	"+"	"ENSG00000116721"	"PRAMEF1"	"protein_coding"	"chromosome"	"PRAMEF1"	c(400736, 65121)
"ENSG00000239810"	"chr1"	12831410	12831411	2	"-"	"ENSG00000239810"	"PRAMEF11"	"protein_coding"	"chromosome"	"PRAMEF11"	440560
"ENSG00000179172"	"chr1"	12848725	12848726	2	"-"	"ENSG00000179172"	"HNRNPCL1"	"protein_coding"	"chromosome"	"HNRNPCL1"	343069
"ENSG00000120952"	"chr1"	12857085	12857086	2	"+"	"ENSG00000120952"	"PRAMEF2"	"protein_coding"	"chromosome"	"PRAMEF2"	65122
"ENSG00000243073"	"chr1"	12886201	12886202	2	"-"	"ENSG00000243073"	"PRAMEF4"	"protein_coding"	"chromosome"	"PRAMEF4"	400735
"ENSG00000187545"	"chr1"	12898270	12898271	2	"-"	"ENSG00000187545"	"PRAMEF10"	"protein_coding"	"chromosome"	"PRAMEF10"	343071
"ENSG00000204510"	"chr1"	12916609	12916610	2	"+"	"ENSG00000204510"	"PRAMEF7"	"protein_coding"	"chromosome"	"PRAMEF7"	441871
"ENSG00000232423"	"chr1"	12947580	12947581	2	"-"	"ENSG00000232423"	"PRAMEF6"	"protein_coding"	"chromosome"	"PRAMEF6"	440561
"ENSG00000274764"	"chr1"	13056491	13056492	2	"-"	"ENSG00000274764"	"PRAMEF27"	"protein_coding"	"chromosome"	"PRAMEF27"	101929983
"ENSG00000229571"	"chr1"	13060852	13060853	2	"+"	"ENSG00000229571"	"PRAMEF25"	"protein_coding"	"chromosome"	"PRAMEF25"	441873
"ENSG00000277058"	"chr1"	13060868	13060869	2	"+"	"ENSG00000277058"	"HNRNPCL3"	"protein_coding"	"chromosome"	"HNRNPCL3"	649330
